Unnamed: 0	GE: KIRC	GE: BRCA	GE: READ	GE: PRAD	GE: STAD	GE: HNSC	GE: LUAD	GE: THCA	GE: BLCA	GE: ESCA	GE: LIHC	GE: UCEC	GE: COAD	GE: LUSC	GE: CESC	GE: KIRP
STIM1	0.0218264417874899	0.0785828387716032	0.0810087714103265	0.0249273773919251	0.058402580412261	0.0548814219616279	0.029813631503664	0.0032328083798496	0.103206791318875	0.0648892011733328	0.0450891102817255	0.1128404467915396	0.0902879417290443	0.0303714683458819	0.0909950903217865	0.0173448687459719
TRPC1	0.0350368586933255	0.1753960348635794	0.1275871183993218	0.16077052947956	0.0251389588911096	0.0176271472325846	0.0605295711772818	0.0725598478887506	0.1949096957875065	0.0461918359829447	0.0245654605119849	0.3280994068413913	0.0767786474965304	0.0662409125171861	0.3308755980003635	0.0424824333413684
NOS1	0.3173145513974117	0.3668422096105443	0.3626533934424777	0.3276155533390896	0.3861429073714246	0.240406018186619	0.5426960061155328	0.485484699173166	0.0	0.2029968417703482	0.0	0.2640746718279433	0.1972291075999385	0.2256543143740571	0.3389483206000744	0.5127139110768717
ATP2B4	0.0588738606418634	0.1217474626347806	0.2541151906759774	0.1989616830934432	0.0005874370963893	0.0468989853782744	0.094597629876015	0.0154961692348296	0.1480027777647232	0.0111246998249046	0.054450048336099	0.1552012799911792	0.0711884677222105	0.0907022371275918	0.2679025765727844	0.0287591683152049
ABCC9	0.0065799225294872	0.2527224411396452	0.1090115329483649	0.1487157297227804	0.0362293746485954	0.0083459790319213	0.1855182669980787	0.113507871890648	0.2548952178902124	0.0716003794731381	0.1607379161801441	0.4751147572522009	0.0563364935424925	0.2259538193307166	0.5386892795853323	0.096150285463266
KCNJ11	0.1152347195424124	0.1465345103808336	0.0678503298474808	0.087213286539829	0.0251918947456147	0.1377979126690414	0.0082325863353229	0.051578446171216	0.155792160245806	0.2550824363593348	0.1034159208948651	0.075345444867081	0.068497094178448	0.075606676806019	0.0388067471656083	0.0186238944039857
HADHA	0.0128824960377188	0.0760960089071669	0.0549107597473626	0.0160511888177514	0.0396606252041216	0.0322278739982807	0.0319331250697149	0.018036403058912	0.0517566760060057	0.0285499826748258	0.0251742667562851	0.0365660674631143	0.0778802528728018	0.0229312291941197	0.0267384616791785	0.0114578614228686
HADHB	0.0464416305459576	0.0369349576407034	0.070406542128498	0.0071644917432068	0.0598838137017073	0.044241604702625	0.0171546865476001	0.0023230735609806	0.0517671092653281	0.0769141616709143	0.0472778313067298	0.0193430787692395	0.0756095583644013	0.0119658175308476	0.0077542274536335	0.0427328010337676
GTF2E2	0.0148448671734762	0.0009082641658868	0.0218327644909008	0.0189693289353821	0.00024295596296	0.024755003658491	0.0486411636465548	0.036776116386208	0.0187848981354269	0.0300450272365828	0.0280552580399846	0.0342698609041913	0.0463828551798751	0.057434002841945	0.0081637204321531	0.0361062368254513
GTF2E1	0.0055906202712318	0.0343742531407924	0.0120810965689153	0.017599350514772	0.0429069585367307	0.0530282772983896	0.0091918157355237	0.0749840689904439	0.0167009458421019	0.0571644083572305	0.0816728513884279	0.0397883561535533	0.0129473612253393	0.0588463552220647	0.0553211944551282	0.0357055021198297
